year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,total_nominations,year_total_nominations,nomination_share,nomination_number
2020,2021,93,BEST PICTURE,BEST PICTURE,Ben Browning/Ashley Fox/Emerald Fennell/Josey McNamara,Promising Young Woman,0,5.0,51.0,0.09803921568627451,6
2020,2021,93,BEST PICTURE,BEST PICTURE,Bert Hamelinck/Sacha Ben Harroche,Sound of Metal,0,6.0,51.0,0.11764705882352941,7
2020,2021,93,BEST PICTURE,BEST PICTURE,Marc Platt/Stuart Besser,The Trial of the Chicago 7,0,6.0,51.0,0.11764705882352941,8
2021,2022,94,BEST PICTURE,BEST PICTURE,Laura Berwick/Kenneth Branagh/Becca Kovacik/Tamar Thomas,Belfast,0,7.0,60.0,0.11666666666666667,1
2021,2022,94,BEST PICTURE,BEST PICTURE,Philippe Rousselet/Fabrice Gianfermi/Patrick Wachsberger,CODA,1,3.0,60.0,0.05,2
2021,2022,94,BEST PICTURE,BEST PICTURE,Adam McKay/Kevin Messick,Don't Look Up,0,4.0,60.0,0.06666666666666667,3
2021,2022,94,BEST PICTURE,BEST PICTURE,Teruhisa Yamamoto,Drive My Car,0,4.0,60.0,0.06666666666666667,4
2021,2022,94,BEST PICTURE,BEST PICTURE,Mary Parent/Denis Villeneuve/Cale Boyter,Dune,0,10.0,60.0,0.16666666666666666,5
2021,2022,94,BEST PICTURE,BEST PICTURE,Tim White/Trevor White/Will Smith,King Richard,0,6.0,60.0,0.1,6
2021,2022,94,BEST PICTURE,BEST PICTURE,Sara Murphy/Adam Somner/Paul Thomas Anderson,Licorice Pizza,0,3.0,60.0,0.05,7
2021,2022,94,BEST PICTURE,BEST PICTURE,Guillermo del Toro/J. Miles Dale/Bradley Cooper,Nightmare Alley,0,4.0,60.0,0.06666666666666667,8
2021,2022,94,BEST PICTURE,BEST PICTURE,Jane Campion/Tanya Seghatchian/Emile Sherman/Iain Canning/Roger Frappier,The Power of the Dog,0,12.0,60.0,0.2,9
2021,2022,94,BEST PICTURE,BEST PICTURE,Steven Spielberg/Kristie Macosko Krieger,West Side Story,0,7.0,60.0,0.11666666666666667,10
2022,2023,95,BEST PICTURE,BEST PICTURE,Malte Grunert,All Quiet on the Western Front,0,9.0,65.0,0.13846153846153847,1
2022,2023,95,BEST PICTURE,BEST PICTURE,James Cameron/Jon Landau,Avatar: The Way of Water,0,4.0,65.0,0.06153846153846154,2
2022,2023,95,BEST PICTURE,BEST PICTURE,Graham Broadbent/Pete Czernin/Martin McDonagh,The Banshees of Inisherin,0,9.0,65.0,0.13846153846153847,3
2022,2023,95,BEST PICTURE,BEST PICTURE,Baz Luhrmann/Catherine Martin/Gail Berman/Patrick McCormick/Schuyler Weiss,Elvis,0,8.0,65.0,0.12307692307692308,4
2022,2023,95,BEST PICTURE,BEST PICTURE,Daniel Kwan/Daniel Scheinert/Jonathan Wang,Everything Everywhere All at Once,1,11.0,65.0,0.16923076923076924,5
2022,2023,95,BEST PICTURE,BEST PICTURE,Kristie Macosko Krieger/Steven Spielberg/Tony Kushner,The Fabelmans,0,7.0,65.0,0.1076923076923077,6
2022,2023,95,BEST PICTURE,BEST PICTURE,Todd Field/Alexandra Milchan/Scott Lambert,Tár,0,6.0,65.0,0.09230769230769231,7
2022,2023,95,BEST PICTURE,BEST PICTURE,Tom Cruise/Christopher McQuarrie/David Ellison/Jerry Bruckheimer,Top Gun: Maverick,0,6.0,65.0,0.09230769230769231,8
2022,2023,95,BEST PICTURE,BEST PICTURE,Erik Hemmendorff/Philippe Bober,Triangle of Sadness,0,3.0,65.0,0.046153846153846156,9
2022,2023,95,BEST PICTURE,BEST PICTURE,Dede Gardner/Jeremy Kleiner/Frances McDormand,Women Talking,0,2.0,65.0,0.03076923076923077,10
2023,2024,96,BEST PICTURE,BEST PICTURE,Ben LeClair/Nikos Karamigios/Cord Jefferson/Jermaine Johnson,American Fiction,0,5.0,71.0,0.07042253521126761,1
2023,2024,96,BEST PICTURE,BEST PICTURE,Marie-Ange Luciani/David Thion,Anatomy of a Fall,0,5.0,71.0,0.07042253521126761,2
2023,2024,96,BEST PICTURE,BEST PICTURE,David Heyman/Margot Robbie/Tom Ackerley/Robbie Brenner,Barbie,0,8.0,71.0,0.11267605633802817,3
2023,2024,96,BEST PICTURE,BEST PICTURE,Mark Johnson,The Holdovers,0,5.0,71.0,0.07042253521126761,4
2023,2024,96,BEST PICTURE,BEST PICTURE,Dan Friedkin/Bradley Thomas/Martin Scorsese/Daniel Lupi,Killers of the Flower Moon,0,10.0,71.0,0.14084507042253522,5
2023,2024,96,BEST PICTURE,BEST PICTURE,Bradley Cooper/Steven Spielberg/Fred Berner/Amy Durning/Kristie Macosko Krieger,Maestro,0,7.0,71.0,0.09859154929577464,6
2023,2024,96,BEST PICTURE,BEST PICTURE,Emma Thomas/Charles Roven/Christopher Nolan,Oppenheimer,1,13.0,71.0,0.18309859154929578,7
2023,2024,96,BEST PICTURE,BEST PICTURE,David Hinojosa/Christine Vachon/Pamela Koffler,Past Lives,0,2.0,71.0,0.028169014084507043,8
2023,2024,96,BEST PICTURE,BEST PICTURE,Ed Guiney/Andrew Lowe/Yorgos Lanthimos/Emma Stone,Poor Things,0,11.0,71.0,0.15492957746478872,9
2023,2024,96,BEST PICTURE,BEST PICTURE,James Wilson,The Zone of Interest,0,5.0,71.0,0.07042253521126761,10
